N	F0	PER	d0	v0	collision
4	-6	0.450000	7.816000	46	0
5	-7	0.210000	5.175000	16	0
6	-2	0.490000	5.787000	62	0
4	-2	0.420000	4.747000	24	0
8	-8	0.370000	5.402000	11	0
6	-3	0.290000	4.042000	15	0
6	-7	0.470000	5.439000	11	0
8	-4	0.220000	5.673000	43	0
5	-5	0.310000	6.253000	35	0
6	-3	0.400000	4.371000	68	0
8	-2	0.340000	5.828000	85	0
8	-7	0.410000	4.347000	45	0
3	-4	0.410000	6.442000	63	0
7	-5	0.310000	4.347000	31	0
8	-4	0.330000	8.685000	29	0
5	-4	0.250000	5.960000	36	0
3	-6	0.360000	7.645000	86	0
5	-8	0.490000	7.173000	28	0
8	-8	0.280000	5.891000	27	0
3	-6	0.210000	5.429000	77	0
8	-8	0.430000	6.547000	28	0
5	-3	0.370000	7.626000	23	0
4	-1	0.200000	5.245000	52	0
8	-6	0.240000	8.809000	61	0
6	-1	0.440000	6.120000	63	0
8	-8	0.480000	7.361000	82	1
6	-8	0.360000	6.852000	84	0
3	-6	0.250000	6.832000	70	0
6	-7	0.470000	5.457000	21	0
4	-6	0.210000	7.337000	47	0
4	-6	0.380000	6.566000	24	0
4	-2	0.430000	5.745000	66	0
4	-4	0.390000	8.903000	14	0
6	-4	0.430000	8.053000	15	0
3	-6	0.240000	6.102000	52	0
4	-4	0.460000	4.711000	83	0
8	-5	0.210000	4.955000	34	0
6	-1	0.220000	6.298000	49	0
8	-7	0.240000	6.816000	33	0
4	-6	0.260000	7.320000	57	0
7	-1	0.250000	5.058000	54	0
7	-5	0.470000	7.715000	70	1
3	-6	0.340000	4.876000	83	0
8	-6	0.260000	7.520000	31	0
7	-2	0.460000	4.827000	33	0
7	-6	0.370000	8.630000	87	0
6	-3	0.240000	4.643000	74	0
4	-5	0.360000	5.954000	22	0
6	-5	0.360000	7.705000	19	0
3	-1	0.380000	5.123000	10	0
8	-7	0.380000	7.420000	79	0
5	-6	0.370000	8.421000	39	0
4	-8	0.480000	7.250000	27	0
3	-5	0.460000	8.054000	17	0
3	-2	0.330000	4.431000	26	0
6	-5	0.390000	5.330000	24	0
8	-8	0.320000	6.767000	81	0
4	-6	0.280000	5.844000	19	0
7	-7	0.410000	8.095000	54	0
7	-8	0.220000	7.498000	88	1
8	-7	0.410000	4.796000	10	0
6	-8	0.390000	8.475000	61	0
3	-6	0.240000	4.743000	28	0
3	-1	0.440000	7.064000	30	0
8	-8	0.380000	5.632000	65	1
7	-2	0.430000	4.595000	56	0
5	-6	0.390000	5.038000	72	1
7	-2	0.210000	5.372000	72	0
5	-4	0.380000	4.430000	39	0
4	-1	0.300000	8.279000	54	0
8	-4	0.340000	4.917000	55	0
6	-5	0.430000	5.516000	88	0
6	-5	0.430000	5.125000	66	1
6	-2	0.340000	8.919000	80	0
5	-7	0.440000	8.755000	69	0
8	-7	0.230000	6.252000	81	0
3	-6	0.440000	4.665000	20	0
8	-4	0.270000	6.929000	28	0
6	-2	0.450000	5.622000	13	0
7	-7	0.330000	4.912000	44	0
3	-2	0.480000	4.767000	80	0
8	-7	0.400000	5.729000	33	0
4	-5	0.280000	6.093000	81	0
3	-7	0.350000	5.782000	27	0
7	-2	0.270000	8.626000	67	0
7	-5	0.430000	6.797000	67	1
7	-4	0.400000	7.375000	85	0
4	-8	0.320000	6.187000	60	0
6	-8	0.410000	7.008000	64	0
8	-7	0.460000	5.759000	84	1
4	-6	0.440000	5.964000	40	0
4	-2	0.220000	6.760000	57	0
4	-5	0.200000	4.862000	35	0
6	-7	0.380000	6.046000	20	0
5	-5	0.210000	8.692000	89	0
8	-5	0.230000	6.910000	45	0
6	-4	0.260000	4.959000	69	0
7	-4	0.360000	8.952000	27	0
8	-8	0.220000	6.353000	77	0
4	-3	0.350000	6.291000	82	0
7	-2	0.440000	7.081000	46	0
6	-2	0.430000	4.167000	63	0
7	-4	0.280000	5.415000	30	0
7	-2	0.350000	7.608000	56	0
6	-2	0.420000	4.192000	89	0
4	-2	0.360000	6.427000	70	0
3	-8	0.210000	4.023000	11	0
3	-4	0.260000	5.286000	31	0
4	-4	0.220000	4.568000	61	0
6	-5	0.480000	6.942000	71	1
5	-1	0.330000	4.687000	22	0
5	-2	0.250000	6.026000	77	0
8	-7	0.360000	5.260000	47	0
8	-6	0.380000	5.752000	31	0
3	-8	0.270000	5.773000	57	0
4	-2	0.490000	4.407000	88	0
5	-8	0.280000	7.486000	14	0
5	-4	0.280000	8.818000	27	0
8	-4	0.350000	6.198000	65	0
8	-7	0.460000	7.703000	23	0
4	-6	0.240000	8.689000	11	0
7	-8	0.430000	4.067000	49	1
4	-7	0.390000	4.717000	36	0
5	-2	0.260000	6.334000	16	0
3	-1	0.450000	8.985000	80	0
6	-8	0.260000	5.329000	81	0
4	-3	0.240000	4.180000	23	0
7	-5	0.200000	4.885000	51	0
6	-6	0.440000	6.109000	83	1
6	-6	0.470000	6.094000	35	0
4	-7	0.390000	7.414000	10	0
7	-3	0.420000	4.038000	51	0
4	-6	0.400000	4.631000	30	0
8	-8	0.360000	5.307000	17	0
6	-8	0.250000	7.590000	32	0
4	-3	0.410000	4.578000	46	0
6	-4	0.280000	8.461000	55	0
4	-5	0.490000	5.596000	47	0
6	-2	0.300000	7.133000	19	0
4	-4	0.360000	6.803000	85	1
3	-7	0.340000	8.172000	27	0
4	-2	0.280000	4.249000	22	0
3	-5	0.410000	6.687000	28	0
3	-8	0.240000	8.317000	81	0
6	-5	0.390000	6.681000	53	0
5	-3	0.480000	7.283000	45	0
6	-2	0.290000	8.995000	68	0
3	-2	0.250000	4.072000	62	0
3	-3	0.470000	5.207000	13	0
7	-8	0.340000	6.986000	84	0
6	-1	0.250000	5.402000	76	0
8	-4	0.280000	8.442000	61	0
5	-2	0.450000	7.486000	27	0
4	-6	0.350000	5.237000	65	0
4	-5	0.370000	5.756000	50	0
4	-4	0.300000	5.483000	70	0
5	-4	0.240000	7.346000	29	0
8	-6	0.420000	6.038000	14	0
6	-1	0.400000	7.432000	77	0
5	-7	0.240000	8.645000	43	0
6	-8	0.380000	5.520000	55	0
4	-8	0.450000	7.084000	88	0
3	-7	0.390000	6.851000	29	0
4	-8	0.340000	4.793000	85	1
6	-6	0.450000	8.614000	33	0
6	-5	0.340000	6.298000	30	0
5	-6	0.260000	7.265000	63	0
3	-8	0.260000	4.175000	70	0
6	-4	0.440000	5.547000	26	0
7	-3	0.470000	5.315000	46	0
4	-2	0.290000	8.108000	46	0
5	-7	0.230000	6.117000	49	0
6	-8	0.250000	6.829000	44	0
7	-4	0.430000	6.105000	62	0
6	-2	0.320000	6.127000	88	0
5	-5	0.240000	7.249000	12	0
6	-7	0.340000	6.441000	61	0
8	-5	0.370000	6.970000	85	0
6	-4	0.270000	7.397000	14	0
7	-7	0.480000	5.800000	33	0
5	-8	0.280000	5.202000	67	0
4	-8	0.290000	4.445000	63	0
7	-6	0.290000	6.330000	70	0
6	-3	0.450000	7.216000	82	0
4	-3	0.310000	6.667000	43	0
7	-4	0.250000	8.709000	53	0
7	-8	0.210000	8.791000	48	0
4	-3	0.450000	8.133000	74	0
3	-6	0.490000	7.281000	35	0
7	-3	0.450000	4.847000	29	0
6	-8	0.250000	6.804000	89	0
3	-4	0.200000	4.339000	83	0
4	-6	0.270000	6.550000	70	0
4	-1	0.230000	7.179000	57	0
3	-1	0.290000	7.046000	54	0
3	-7	0.320000	4.311000	74	1
6	-4	0.450000	6.162000	86	1
6	-8	0.300000	6.818000	60	0
3	-4	0.470000	5.300000	33	0
4	-5	0.460000	8.987000	85	0
6	-8	0.220000	8.691000	44	0
5	-5	0.400000	7.961000	62	0
4	-2	0.270000	7.231000	53	0
8	-1	0.250000	7.847000	32	0
8	-6	0.470000	8.586000	80	1
8	-6	0.340000	5.528000	42	0
8	-7	0.430000	8.258000	52	0
6	-6	0.410000	7.152000	75	0
7	-7	0.340000	6.682000	45	0
3	-2	0.370000	8.935000	26	0
8	-4	0.220000	4.779000	50	0
4	-1	0.250000	5.157000	24	0
3	-7	0.380000	5.597000	38	0
3	-5	0.410000	8.666000	23	0
6	-7	0.300000	5.751000	27	0
6	-2	0.480000	7.331000	74	0
8	-8	0.330000	8.600000	80	0
5	-6	0.350000	8.336000	21	0
6	-4	0.300000	5.415000	71	0
6	-3	0.280000	8.111000	68	0
6	-6	0.420000	6.239000	28	0
3	-6	0.390000	5.956000	40	0
3	-6	0.350000	8.918000	17	0
4	-1	0.480000	8.028000	57	0
6	-4	0.410000	7.379000	56	0
4	-3	0.310000	7.778000	24	0
5	-1	0.270000	5.961000	52	0
7	-4	0.420000	6.619000	12	0
5	-6	0.480000	8.783000	38	0
5	-8	0.490000	6.084000	27	0
6	-8	0.450000	6.566000	84	1
8	-3	0.440000	6.358000	73	0
4	-1	0.260000	6.909000	30	0
6	-6	0.230000	5.587000	41	0
7	-6	0.240000	4.796000	37	0
3	-3	0.260000	5.140000	51	0
3	-8	0.480000	8.751000	81	1
3	-8	0.310000	8.701000	59	0
5	-4	0.480000	7.980000	37	0
5	-5	0.400000	4.305000	12	0
7	-6	0.270000	7.810000	79	0
8	-8	0.400000	5.240000	44	0
7	-2	0.490000	5.831000	36	0
6	-4	0.380000	6.233000	84	0
6	-6	0.230000	4.969000	11	0
3	-2	0.410000	6.764000	69	0
3	-2	0.270000	8.715000	70	0
4	-2	0.410000	7.675000	60	0
6	-4	0.260000	6.435000	67	0
4	-4	0.430000	5.722000	45	0
4	-4	0.220000	5.746000	18	0
3	-8	0.410000	5.572000	45	0
6	-8	0.470000	7.145000	78	1
3	-3	0.240000	7.219000	20	0
6	-1	0.230000	4.502000	88	0
8	-3	0.460000	7.768000	57	0
3	-1	0.240000	8.727000	44	0
4	-8	0.440000	8.934000	69	0
7	-4	0.330000	8.747000	84	0
8	-6	0.470000	5.037000	63	1
5	-8	0.360000	5.016000	89	1
5	-7	0.340000	6.396000	32	0
4	-1	0.290000	6.637000	76	0
7	-4	0.260000	7.334000	24	0
4	-7	0.370000	8.463000	41	0
8	-3	0.410000	7.607000	83	0
8	-6	0.390000	6.101000	44	0
3	-5	0.480000	6.501000	25	0
6	-6	0.350000	5.783000	56	0
7	-4	0.250000	5.785000	82	0
3	-4	0.210000	5.862000	36	0
4	-6	0.420000	6.987000	67	0
8	-8	0.380000	5.122000	14	0
5	-2	0.380000	5.859000	75	0
8	-1	0.470000	4.138000	78	0
8	-7	0.260000	6.454000	80	0
7	-1	0.400000	6.041000	63	0
7	-7	0.330000	8.051000	73	0
6	-2	0.480000	6.227000	73	0
4	-8	0.330000	7.482000	40	0
6	-3	0.290000	5.622000	67	0
6	-6	0.330000	4.376000	87	1
6	-3	0.300000	7.380000	64	0
4	-5	0.470000	8.546000	48	0
7	-1	0.430000	4.027000	65	0
8	-3	0.420000	8.796000	13	0
7	-6	0.340000	7.054000	75	0
4	-5	0.450000	8.558000	34	0
4	-1	0.490000	7.698000	75	0
5	-2	0.260000	4.307000	42	0
8	-3	0.350000	4.904000	34	0
6	-8	0.470000	7.954000	58	1
3	-7	0.450000	6.437000	18	0
3	-7	0.380000	6.175000	40	0
4	-6	0.470000	4.468000	83	0
6	-5	0.430000	7.615000	70	0
4	-8	0.370000	8.288000	43	0
7	-6	0.360000	4.445000	32	1
5	-7	0.470000	7.483000	55	0
8	-4	0.470000	7.068000	73	1
6	-7	0.450000	8.485000	16	0
7	-5	0.350000	8.478000	82	0
4	-2	0.430000	4.079000	35	0
3	-5	0.220000	4.074000	47	0
6	-8	0.200000	5.497000	70	0
6	-3	0.440000	4.820000	16	0
3	-6	0.200000	4.892000	37	0
8	-7	0.340000	5.050000	53	1
3	-8	0.380000	6.473000	84	0
3	-8	0.320000	7.927000	21	0
6	-8	0.450000	8.064000	37	1
7	-4	0.430000	4.052000	37	0
5	-3	0.340000	5.168000	41	0
3	-7	0.370000	7.611000	32	0
8	-6	0.460000	7.246000	50	1
7	-2	0.290000	7.580000	50	0
7	-3	0.330000	4.002000	40	0
7	-6	0.330000	5.730000	77	1
7	-4	0.300000	7.314000	56	0
8	-4	0.450000	5.507000	57	0
8	-5	0.240000	7.023000	54	0
8	-5	0.420000	5.149000	86	0
3	-4	0.370000	7.530000	55	0
7	-1	0.460000	7.731000	65	0
7	-8	0.280000	5.563000	25	0
4	-8	0.220000	6.621000	20	0
3	-4	0.220000	5.835000	56	0
3	-3	0.250000	8.867000	40	0
4	-2	0.340000	4.668000	84	0
6	-8	0.390000	4.367000	56	0
5	-8	0.220000	6.806000	34	0
5	-2	0.220000	6.606000	23	0
6	-8	0.240000	4.622000	47	0
6	-5	0.260000	4.977000	61	0
7	-2	0.460000	7.062000	51	0
8	-8	0.200000	6.031000	55	0
6	-3	0.400000	7.948000	75	0
6	-8	0.380000	6.645000	87	0
7	-4	0.280000	6.454000	23	0
7	-2	0.490000	7.167000	31	0
8	-5	0.320000	5.007000	71	0
3	-4	0.450000	7.442000	76	0
5	-6	0.350000	7.449000	22	0
4	-4	0.460000	6.666000	32	0
3	-8	0.310000	4.030000	82	0
3	-8	0.440000	6.689000	58	0
3	-6	0.440000	8.576000	65	0
7	-5	0.390000	8.823000	30	0
3	-5	0.310000	7.251000	22	0
3	-6	0.220000	7.437000	37	0
6	-7	0.340000	5.046000	53	1
7	-8	0.370000	5.778000	88	1
7	-5	0.240000	7.952000	21	0
3	-7	0.400000	8.846000	33	0
3	-7	0.200000	8.251000	27	0
4	-8	0.330000	5.863000	42	0
7	-8	0.290000	5.543000	15	0
6	-8	0.290000	7.656000	73	0
4	-4	0.470000	6.949000	11	0
5	-6	0.230000	7.214000	83	0
6	-7	0.340000	8.898000	12	0
7	-7	0.390000	7.291000	11	0
8	-8	0.320000	8.928000	38	0
6	-8	0.280000	6.110000	11	0
8	-1	0.420000	5.453000	63	0
8	-4	0.470000	5.552000	57	0
7	-7	0.440000	4.014000	57	1
8	-3	0.380000	8.757000	38	0
8	-2	0.370000	7.277000	39	0
6	-4	0.220000	5.646000	63	0
6	-2	0.260000	8.800000	10	0
3	-2	0.440000	5.590000	28	0
8	-8	0.350000	8.789000	49	0
7	-7	0.330000	4.797000	50	0
4	-7	0.290000	5.275000	26	0
8	-5	0.400000	8.654000	31	0
8	-2	0.250000	4.332000	85	0
5	-1	0.470000	7.784000	65	0
6	-7	0.260000	7.212000	85	0
7	-3	0.370000	6.220000	43	0
6	-7	0.250000	5.128000	12	0
8	-5	0.400000	5.563000	81	0
8	-7	0.250000	6.439000	26	0
5	-5	0.210000	6.336000	50	0
5	-6	0.280000	6.206000	47	0
4	-5	0.220000	5.563000	86	0
7	-6	0.380000	8.685000	23	0
8	-3	0.420000	6.826000	10	0
3	-2	0.280000	4.801000	52	0
7	-3	0.490000	8.433000	43	0
3	-3	0.320000	6.235000	83	0
7	-4	0.340000	6.553000	56	0
